C1	41.91	16.51	0.00	220nF	CAPC3325X94N
C10	58.42	10.16	90.00	GCM188R91E104KA37J	CAPC1608X90N
C11	55.88	10.16	90.00	GCM188R91E104KA37J	CAPC1608X90N
C12	22.86	8.89	270.00	GCM188R91E104KA37J	CAPC1608X90N
C13	20.32	8.89	270.00	GCM188R91E104KA37J	CAPC1608X90N
C14	66.04	10.16	90.00	GCM188R91E104KA37J	CAPC1608X90N
C15	63.50	10.16	90.00	GCM188R91E104KA37J	CAPC1608X90N
C16	73.66	10.16	90.00	GCM188R91E104KA37J	CAPC1608X90N
C17	76.20	10.16	90.00	GCM188R91E104KA37J	CAPC1608X90N
C18	81.28	30.48	180.00	GCM188R91E104KA37J	CAPC1608X90N
C19	81.28	33.02	180.00	GCM188R91E104KA37J	CAPC1608X90N
C2	50.80	17.78	180.00	51pF	CAPC1608X87N
C20	85.09	53.34	180.00	GCM188R91E104KA37J	CAPC1608X90N
C21	85.09	55.88	180.00	GCM188R91E104KA37J	CAPC1608X90N
C3	66.04	29.21	180.00	470nF	CAPC1608X95N
C4	69.85	39.37	0.00	47μF	CAPAE660X800N
C5	33.02	25.40	180.00	1μF	CAPC1608X90N
C6	74.93	49.53	180.00	GRM188R6YA225KA12D	CAPC1608X90N
C7	58.42	41.91	270.00	47μF	CAPAE660X800N
C8	22.86	60.96	270.00	GRM1857U1A103JA44D	CAPC1608X50N
C9	35.56	49.53	90.00	GRM188R61A226ME15D	CAPC1608X100N
DNP1	81.28	26.67	0.00	CRCW06038K20FKEAC	RESC1608X55N
DNP2	86.36	29.21	0.00	CRCW06038K20FKEAC	RESC1608X55N
DNP3	81.28	24.13	0.00	CRCW06038K20FKEAC	RESC1608X55N
DNP4	86.36	26.67	0.00	CRCW06038K20FKEAC	RESC1608X55N
DNP5	81.28	21.59	0.00	CRCW06038K20FKEAC	RESC1608X55N
J2	10.16	68.58	0.00	TSM-105-01-S-DV	SAMTEC_TSM-105-01-S-DV
J4	7.41	11.43	0.00	SJ-3523-SMT-TR	CUI_SJ-3523-SMT-TR
R1	69.85	29.21	180.00	1kΩ	RESC1508X55N
R10	83.82	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R11	30.48	29.21	90.00	10kΩ	RESC1508X55N
R12	22.86	50.80	270.00	10kΩ	RESC1508X55N
R13	26.67	44.45	90.00	10kΩ	RESC1508X55N
R14	34.29	39.37	180.00	10kΩ	RESC1508X55N
R15	31.75	41.91	0.00	10kΩ	RESC1508X55N
R16	58.42	48.26	180.00	100kΩ	RESC1508X50N
R17	39.37	64.77	180.00	CRCW060333K0JNEAHP	RESC1608X55N
R18	39.37	58.42	180.00	CRCW06038K20FKEAC	RESC1608X55N
R19	39.37	62.23	0.00	CRCW0603330RFKEBC	RESC1608X55N
R2	66.04	33.02	180.00	1MΩ	RESC1608X55N
R20	80.01	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R21	76.20	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R22	72.39	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R23	68.58	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R24	64.77	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R25	60.96	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R26	57.15	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R27	53.34	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R28	49.53	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R29	45.72	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R3	50.80	15.24	180.00	51kΩ	RESC1608X55N
R30	41.91	68.58	90.00	MCT06030D1002BP100	RESC1508X55N
R31	53.34	48.26	90.00	CRCW06030000Z0EAHP	RESC1608X55N
R4	68.58	45.72	180.00	10kΩ	RESC1508X55N
R5	72.39	45.72	180.00	10kΩ	RESC1508X55N
R6	46.99	15.24	0.00	1kΩ	RESC1508X55N
R7	35.56	29.21	90.00	10kΩ	RESC1508X55N
R8	38.10	29.21	90.00	10kΩ	RESC1508X55N
R9	33.02	29.21	90.00	10kΩ	RESC1508X55N
TP1	43.18	33.02	0.00	5015	KEYSTONE_5015
TP10	21.59	55.88	180.00	5015	KEYSTONE_5015
TP13	74.93	54.61	180.00	5015	KEYSTONE_5015
TP14	77.47	36.83	180.00	5015	KEYSTONE_5015
TP15	22.86	13.97	180.00	5015	KEYSTONE_5015
TP16	73.66	15.24	180.00	5015	KEYSTONE_5015
TP17	66.04	15.24	180.00	5015	KEYSTONE_5015
TP18	57.15	15.24	180.00	5015	KEYSTONE_5015
TP19	15.24	31.75	180.00	5015	KEYSTONE_5015
TP2	48.26	39.37	0.00	5015	KEYSTONE_5015
TP3	60.96	26.67	0.00	5015	KEYSTONE_5015
TP4	30.48	68.58	0.00	5015	KEYSTONE_5015
TP5	35.56	11.43	0.00	5015	KEYSTONE_5015
TP6	67.31	49.53	180.00	5015	KEYSTONE_5015
TP7	36.83	68.58	180.00	5015	KEYSTONE_5015
TP8	15.24	55.88	180.00	5015	KEYSTONE_5015
TP9	40.64	52.07	180.00	5015	KEYSTONE_5015
U1	53.34	31.75	0.00	TL082	SOIC127P600X175-8N
U10	71.12	6.35	0.00	TS5A3359DCUT	SOP50P310X90-8N
U11	53.34	6.35	0.00	TS5A3359DCUT	SOP50P310X90-8N
U12	81.28	49.53	0.00	TS5A3359DCUT	SOP50P310X90-8N
U13	76.20	29.21	180.00	TS5A3359DCUT	SOP50P310X90-8N
U14	26.67	7.62	0.00	TS5A3359DCUT	SOP50P310X90-8N
U2	33.02	19.05	180.00	AD5241BRZ1M	SOIC127P600X175-14N
U3	24.13	29.21	180.00	AD5241BRZ100	SOIC127P600X175-14N
U4	38.10	43.18	0.00	AD5258BRMZ1-R7	SOP50P490X110-10N
U5	29.21	54.61	0.00	AD5241BRZ1M	SOIC127P600X175-14N
U9	62.23	6.35	0.00	TS5A3359DCUT	SOP50P310X90-8N
