Comment,Designator,Footprint,Part #,,,,,,,,,,,,,,,
220nF,C1,CAPC3325X94N,12105C224MAT2A,,,,,,,,,,,,,,,
51pF,C2,CAPC1608X87N,C0603C510F1GACTU,,,,,,,,,,,,,,,
470nF,C3,CAPC1608X95N,CGA3E3X7R1H474M080AE,,,,,,,,,,,,,,,
47μF,C4,CAPAE660X800N,EEE-HC1E470XP,,,,,,,,,,,,,,,
1μF,C5,CAPC1608X90N,GCM188R71C105KA64J,,,,,,,,,,,,,,,
GRM188R6YA225KA12D,C6,CAPC1608X90N,GRM188R6YA225KA12D,,,,,,,,,,,,,,,
47μF,C7,CAPAE660X800N,EEE-HC1E470XP,,,,,,,,,,,,,,,
GRM1857U1A103JA44D,C8,CAPC1608X50N,GRM1857U1A103JA44D,,,,,,,,,,,,,,,
GRM188R61A226ME15D,C9,CAPC1608X100N,GRM188R61A226ME15D,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C10,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C11,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C12,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C13,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C14,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C15,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C16,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C17,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C18,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C19,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C20,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
GCM188R91E104KA37J,C21,CAPC1608X90N,GCM188R91E104KA37J,,,,,,,,,,,,,,,
1N4148,D1,DIOAD829W49L456D191,1N4148,,,,,,,,,,,,,,,
1N4148,D2,DIOAD829W49L456D191,1N4148,,,,,,,,,,,,,,,
CRCW06038K20FKEAC,DNP1,RESC1608X55N,CRCW06038K20FKEAC,,,,,,,,,,,,,,,
CRCW06038K20FKEAC,DNP2,RESC1608X55N,CRCW06038K20FKEAC,,,,,,,,,,,,,,,
CRCW06038K20FKEAC,DNP3,RESC1608X55N,CRCW06038K20FKEAC,,,,,,,,,,,,,,,
CRCW06038K20FKEAC,DNP4,RESC1608X55N,CRCW06038K20FKEAC,,,,,,,,,,,,,,,
CRCW06038K20FKEAC,DNP5,RESC1608X55N,CRCW06038K20FKEAC,,,,,,,,,,,,,,,
RN111PC,J1,SWITCHCRAFT_RN111PC,RN111PC,,,,,,,,,,,,,,,
TSM-105-01-S-DV,J2,SAMTEC_TSM-105-01-S-DV,TSM-105-01-S-DV,,,,,,,,,,,,,,,
SAMTEC-SSQ-120-01-X-DJ,J3,SAMTEC-SSQ-120-01-X-D,SAMTEC-SSQ-120-01-X-DJ,,,,,,,,,,,,,,,
SJ-3523-SMT-TR,J4,CUI_SJ-3523-SMT-TR,SJ-3523-SMT-TR,,,,,,,,,,,,,,,
2N2222A,Q1,TO127P584H533-3,2N2222A,,,,,,,,,,,,,,,
2N4123,Q2,TO92127P521H538-3,2N4123,,,,,,,,,,,,,,,
1kΩ,R1,RESC1508X55N,CPF0603B1K0E1,,,,,,,,,,,,,,,
1MΩ,R2,RESC1608X55N,CRCW06031M00JNEAHP,,,,,,,,,,,,,,,
51kΩ,R3,RESC1608X55N,CRCW060351K0FKEAC,,,,,,,,,,,,,,,
10kΩ,R4,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
10kΩ,R5,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
1kΩ,R6,RESC1508X55N,CPF0603B1K0E1,,,,,,,,,,,,,,,
10kΩ,R7,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
10kΩ,R8,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
10kΩ,R9,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R10,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
10kΩ,R11,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
10kΩ,R12,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
10kΩ,R13,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
10kΩ,R14,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
10kΩ,R15,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
100kΩ,R16,RESC1508X50N,CRCW0603100KDHEAP,,,,,,,,,,,,,,,
CRCW060333K0JNEAHP,R17,RESC1608X55N,CRCW060333K0JNEAHP,,,,,,,,,,,,,,,
CRCW06038K20FKEAC,R18,RESC1608X55N,CRCW06038K20FKEAC,,,,,,,,,,,,,,,
CRCW0603330RFKEBC,R19,RESC1608X55N,CRCW0603330RFKEBC,,,,,,,,,,,,,,,
MCT06030D1002BP100,R20,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R21,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R22,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R23,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R24,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R25,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R26,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R27,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R28,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R29,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
MCT06030D1002BP100,R30,RESC1508X55N,MCT06030D1002BP100,,,,,,,,,,,,,,,
5015,TP1,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP2,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP3,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP4,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP5,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
5015,TP6,KEYSTONE_5015,5015,,,,,,,,,,,,,,,
